date,open,high,low,close,volume
2010-11-10,96.6293,97.0903,95.8981,97.0426,221387400
2010-11-11,96.2081,96.8200,95.9140,96.6770,158017600
2010-11-12,96.0253,96.4465,95.0954,95.5325,239068800
2010-11-15,95.8345,96.2081,95.3577,95.3974,163940800
2010-11-16,94.8093,94.9682,93.4581,93.9112,299566200
2010-11-17,93.9509,94.3483,93.6727,93.9588,172308900
2010-11-18,94.8649,95.6835,94.8569,95.3418,197723700
2010-11-19,95.2941,95.6438,94.7775,95.6040,156852900
2010-11-22,95.1272,95.5643,94.3960,95.5246,181361000
2010-11-23,94.3960,94.5947,93.7760,94.1416,222309000
2010-11-24,94.7377,95.5564,94.7218,95.5325,140046100
2010-11-26,94.7059,95.2225,94.4198,94.4198,76007800
2010-11-29,94.1814,94.9603,93.5773,94.7059,223642300
2010-11-30,93.7681,94.7139,93.6330,94.1734,233930700
2010-12-01,95.5325,96.3591,95.5246,96.1763,221037200
2010-12-02,96.3273,97.4797,96.2716,97.4082,191213600
2010-12-03,97.0744,97.7817,97.0505,97.6705,151288900
2010-12-06,97.4638,97.7897,97.3605,97.5671,103050500
2010-12-07,98.5050,98.5606,97.5671,97.6228,206581000
2010-12-08,97.7420,98.0599,97.2890,97.9804,138019200
2010-12-09,98.5288,98.5686,97.8771,98.3619,123705100
2010-12-10,98.6639,99.0295,98.3381,98.9342,117571700
2010-12-13,99.3872,99.5064,98.9660,98.9977,133812700
2010-12-14,99.1488,99.5302,98.7832,99.0852,147249600
2010-12-15,98.9024,99.2918,98.4652,98.6321,160823100
2010-12-16,98.6957,99.2759,98.3540,99.2044,185035200
2010-12-17,99.1343,99.4379,98.9266,99.3101,141075300
2010-12-20,99.5817,99.7895,99.0544,99.5498,119085500
2010-12-21,99.8614,100.2449,99.7655,100.1810,94965500
2010-12-22,100.2529,100.5245,100.1969,100.4925,78878100
2010-12-23,100.3807,100.4925,100.1011,100.3487,70053700
2010-12-27,99.9732,100.4846,99.9013,100.3887,58126000
2010-12-28,100.5884,100.6284,100.2688,100.5325,55309100
2010-12-29,100.6523,100.8281,100.5884,100.6044,58033100
2010-12-30,100.5085,100.7722,100.2928,100.4446,76616900
2010-12-31,100.2928,100.5645,100.1330,100.4686,91218900
2011-01-03,101.2356,101.9466,100.4286,101.5072,138725200
2011-01-04,101.7309,101.7629,100.8201,101.4513,137409700
2011-01-05,101.1317,102.0425,101.0358,101.9786,133975300
2011-01-06,102.0186,102.1304,101.4753,101.7789,122519000
2011-01-07,101.9147,102.0825,100.7882,101.5791,156034600
2011-01-10,101.1317,101.5951,100.8281,101.4513,122401700
2011-01-11,101.8188,102.0585,101.4273,101.8108,110287000
2011-01-12,102.4340,102.8415,101.8348,102.7296,107929200
2011-01-13,102.7696,102.8175,102.3062,102.5618,129048400
2011-01-14,102.4180,103.3288,102.3461,103.3049,117677900
2011-01-18,103.2090,103.5765,103.0891,103.4806,114401300
2011-01-19,103.3928,103.4966,102.1943,102.4660,151958400
2011-01-20,102.2343,102.5858,101.5711,102.3301,175745700
2011-01-21,102.9693,103.2010,102.4500,102.5618,151462900
2011-01-24,102.4979,103.2649,102.4740,103.1451,113715500
2011-01-25,102.8734,103.2889,102.3541,103.2010,167552200
2011-01-26,103.4567,103.9041,103.2489,103.6005,141281500
2011-01-27,103.6244,104.0319,103.4407,103.8561,123302700
2011-01-28,103.9760,104.1438,101.8747,102.0425,295637300
2011-01-31,102.3222,102.8894,102.0665,102.8095,149249200
2011-02-01,103.4327,104.6391,103.3688,104.4554,167194300
2011-02-02,104.1837,104.5353,104.1278,104.2556,118323600
2011-02-03,104.0719,104.6471,103.5206,104.4873,145886700
2011-02-04,104.5273,104.8229,104.0479,104.7829,134634800
2011-02-07,105.0146,105.7816,105.0066,105.4381,112439100
2011-02-08,105.5339,105.9734,105.2463,105.9175,99072800
2011-02-09,105.6298,105.9654,105.1505,105.6778,146436700
2011-02-10,105.1425,105.8376,104.9028,105.7177,162708500
2011-02-11,105.3023,106.4847,105.2783,106.3489,137710300
2011-02-14,106.2850,106.6924,106.1651,106.6045,101690700
2011-02-15,106.2770,106.4368,105.7177,106.2690,119575400
2011-02-16,106.6285,107.0679,106.4128,106.9401,130183500
2011-02-17,106.6285,107.4035,106.5326,107.2597,109810500
2011-02-18,107.3556,107.6112,107.1079,107.4834,130002400
2011-02-22,106.3569,107.5074,105.0386,105.3262,233116400
2011-02-23,105.2623,105.5180,104.0319,104.6791,227584000
2011-02-24,104.5672,105.0146,103.6244,104.6072,260431400
2011-02-25,105.0466,105.7896,104.9827,105.7257,141686900
2011-02-28,106.1172,106.5167,105.7657,106.3808,141585500
2011-03-01,106.7164,106.8123,104.5752,104.6072,258565500
2011-03-02,104.4634,105.3182,104.1438,104.8309,200277400
2011-03-03,105.7816,106.7563,105.7736,106.6365,176480100
2011-03-04,106.5566,106.7643,105.1425,105.8376,277202300
2011-03-07,106.1491,106.3888,104.4554,105.0066,216790400
2011-03-08,105.1744,106.2610,104.7190,105.9254,174615000
2011-03-09,105.7177,106.1012,105.1425,105.7736,153806000
2011-03-10,104.6631,104.8069,103.7123,103.8162,301291800
2011-03-11,103.4806,104.9108,103.4567,104.5353,225621800
2011-03-14,103.8561,104.2476,103.1131,103.9041,234974100
2011-03-15,101.1397,103.3288,101.0678,102.7136,359585400
2011-03-16,102.3861,102.7216,100.0931,100.8121,468670300
2011-03-17,102.2662,102.5778,101.5472,102.1464,254303700
2011-03-18,103.3829,103.4150,102.3157,102.5163,230435400
2011-03-21,103.7921,104.3217,103.6718,104.1051,153992600
2011-03-22,104.0890,104.2254,103.6477,103.7440,129538600
2011-03-23,103.4551,104.3137,102.9657,104.0409,148603100
2011-03-24,104.6347,105.1883,104.0489,105.0359,159129800
2011-03-25,105.3087,105.8142,105.0279,105.3568,155642800
2011-03-28,105.5815,105.8543,105.0680,105.1001,109762400
2011-03-29,105.0118,105.8383,104.6668,105.8062,129798800
2011-03-30,106.3599,106.8493,106.2074,106.5364,135835000
2011-03-31,106.4000,106.6889,106.2796,106.3920,132537100
2011-04-01,107.0499,107.3388,106.5845,106.8413,153850100
2011-04-04,107.0660,107.2586,106.6247,106.9296,100768900
2011-04-05,106.7209,107.3869,106.6728,106.9135,120791500
2011-04-06,107.4271,107.5234,106.8172,107.2505,120411600
2011-04-07,107.0580,107.5073,106.4481,106.9777,170731500
2011-04-08,107.4511,107.5153,106.1673,106.6086,147945400
2011-04-11,106.7209,107.0820,106.0309,106.2876,121385400
2011-04-12,105.6939,105.9025,105.1081,105.4933,161187400
2011-04-13,105.9827,106.0630,105.0840,105.4852,162059000
2011-04-14,104.8754,105.7259,104.5304,105.5655,161220400
2011-04-15,105.7580,106.2154,105.4451,105.9506,170006700
2011-04-18,104.7871,105.9426,103.9205,104.7631,210759300
2011-04-19,104.9235,105.3970,104.6668,105.3649,124258800
2011-04-20,106.6247,107.0339,106.5524,106.8012,156133800
2011-04-21,107.3548,107.3950,106.8012,107.3468,135935400
2011-04-25,107.2666,107.4110,106.8814,107.2345,65757100
2011-04-26,107.5635,108.3739,107.4511,108.1573,146600000
2011-04-27,108.3659,109.0239,107.9246,108.8634,143031000
2011-04-28,108.6708,109.3609,108.6548,109.2164,124791100
2011-04-29,109.2566,109.5856,109.1121,109.4732,115094100
2011-05-02,109.9868,110.0750,109.0881,109.3047,126278700
2011-05-03,109.0961,109.2806,108.3579,108.9115,138375000
2011-05-04,108.8634,108.9115,107.7079,108.1894,182678500
2011-05-05,107.5876,108.2856,106.7370,107.2104,226900000
2011-05-06,108.2776,108.8313,107.2666,107.6838,222787200
2011-05-09,107.6758,108.4140,107.5073,108.1011,114104500
2011-05-10,108.4622,109.2164,108.3258,109.0239,114806900
2011-05-11,108.8634,108.8794,107.3789,107.8764,193564200
2011-05-12,107.5876,108.6146,107.0339,108.3900,171550700
2011-05-13,108.4461,108.5986,107.1703,107.5554,157444900
2011-05-16,107.1703,108.0128,106.6969,106.8734,141675400
2011-05-17,106.4722,107.0018,106.0148,106.8574,192686200
2011-05-18,106.9135,107.9246,106.6808,107.8122,135217900
2011-05-19,108.1653,108.3498,107.4752,108.0690,119489500
2011-05-20,107.7882,108.0690,107.0098,107.2104,182594900
2011-05-23,105.9025,106.4963,105.5895,105.9667,168700000
2011-05-24,106.2716,106.5043,105.6778,105.8784,147199600
2011-05-25,105.4531,106.6728,105.4210,106.2315,151050100
2011-05-26,105.9426,106.9135,105.7420,106.7209,164850000
2011-05-27,107.0178,107.4190,106.6889,107.1302,120921900
2011-05-31,108.1412,108.2616,107.3950,108.2455,164731200
2011-06-01,107.9326,108.2616,105.7259,105.8142,233094300
2011-06-02,105.8864,106.1111,105.0840,105.7019,200466800
2011-06-03,104.4341,105.4531,104.3779,104.6507,234690200
2011-06-06,104.3859,104.6026,103.4070,103.5434,179951200
2011-06-07,104.0730,104.3699,103.3909,103.4792,161660500
2011-06-08,103.3187,103.6638,102.8533,103.0459,198696400
2011-06-09,103.3267,104.2575,103.0780,103.8323,160964400
2011-06-10,103.3909,103.4551,102.1151,102.3879,238629400
2011-06-13,102.6206,102.9015,101.9466,102.4682,207599800
2011-06-14,103.4070,104.1292,103.3669,103.7681,160570400
2011-06-15,102.9015,103.7520,101.6497,101.9225,300958000
2011-06-16,101.9546,102.6848,101.3608,102.1472,308032800
2011-06-17,103.1601,103.1682,102.1038,102.4505,233284900
2011-06-20,102.1038,103.1924,102.0715,102.9746,159479000
2011-06-21,103.5069,104.5874,103.0150,104.3858,193157300
2011-06-22,104.0633,104.6761,103.6923,103.7568,176703000
2011-06-23,102.5392,103.7326,101.7570,103.4585,334286500
2011-06-24,103.4343,103.5149,102.1038,102.2570,226129300
2011-06-27,102.3215,103.5633,102.1199,103.1682,168904700
2011-06-28,103.5794,104.5310,103.4343,104.5148,165556300
2011-06-29,104.9906,105.5792,104.5310,105.4099,244295500
2011-06-30,105.7486,106.5872,105.4019,106.4179,223322700
2011-07-01,106.5146,108.1355,106.2647,107.9903,202385700
2011-07-05,107.8774,108.1193,107.5629,107.9016,165936000
2011-07-06,107.6436,108.1677,107.3372,108.0306,143331600
2011-07-07,108.9902,109.4257,108.7645,109.1515,170464200
2011-07-08,107.9178,109.1515,107.5629,108.3774,194100500
2011-07-11,107.0469,107.3936,106.1679,106.4179,195918600
2011-07-12,106.1921,107.0711,105.9260,105.9582,214675700
2011-07-13,106.5146,107.4259,106.0550,106.3131,204062600
2011-07-14,106.5792,107.0711,105.3777,105.5792,226111800
2011-07-15,106.1679,106.3372,105.4502,106.1921,220012800
2011-07-18,105.7002,105.8615,104.5310,105.3212,196872100
2011-07-19,105.9099,107.1598,105.8857,107.0307,166554900
2011-07-20,107.3049,107.3694,106.7808,106.9662,137145400
2011-07-21,107.5710,108.7161,106.9824,108.4500,245246300
2011-07-22,108.4742,108.6354,107.8613,108.5225,126019400
2011-07-25,107.4904,108.4500,107.3775,107.9178,136653800
2011-07-26,107.8452,108.0226,107.2726,107.5146,131278200
2011-07-27,106.9178,106.9501,105.1761,105.3132,249020100
2011-07-28,105.3132,106.2566,104.8374,105.0067,207939900
2011-07-29,103.9504,105.2728,103.1924,104.2890,307038400
2011-08-01,105.5067,105.6034,102.8376,103.8455,325790900
2011-08-02,103.0633,103.6198,101.1925,101.1925,346653800
2011-08-03,101.3296,101.8538,99.6120,101.7409,370830800
2011-08-04,100.3297,100.4910,96.8139,96.9752,520721800
2011-08-05,98.1848,98.4347,94.2335,96.8300,655619200
2011-08-08,94.2738,96.8623,90.3306,90.5242,702263900
2011-08-09,91.9837,94.8625,88.9195,94.7335,717828700
2011-08-10,92.9433,93.7658,90.2742,90.5483,662607400
2011-08-11,91.3305,95.8946,90.5725,94.6125,487979700
2011-08-12,95.4753,96.1285,94.5722,95.2495,313731600
2011-08-15,96.1124,97.3622,95.9591,97.2655,258810600
2011-08-16,96.3381,97.3219,95.4027,96.4349,294095200
2011-08-17,96.9671,97.7332,95.7334,96.4994,238201100
2011-08-18,93.9432,96.5317,91.4354,92.3385,512956300
2011-08-19,91.0886,93.4432,90.7177,90.8306,428281300
2011-08-22,92.8707,92.9191,90.6451,90.9032,275090600
2011-08-23,91.2418,93.9996,90.7822,93.8948,331136600
2011-08-24,93.6932,95.3463,93.4755,95.2173,246869700
2011-08-25,95.7414,96.2817,93.4352,93.7658,312365400
2011-08-26,93.2900,95.5640,91.8063,95.1286,314495900
2011-08-29,96.4107,97.9186,95.2011,97.8622,190977200
2011-08-30,97.4348,98.7250,96.1688,98.1202,241315700
2011-08-31,98.7492,99.5959,97.8138,98.5557,301828400
2011-09-01,98.6121,99.5072,97.3945,97.5235,254585900
2011-09-02,95.4914,97.4671,94.6931,95.0318,255517200
2011-09-06,92.2417,94.4754,92.2337,94.3383,285130500
2011-09-07,95.7656,97.0397,95.4431,96.9994,209803200
2011-09-08,96.4188,97.5235,95.7737,95.9914,250568200
2011-09-09,94.8947,96.0075,92.9594,93.4755,380195100
2011-09-12,92.3062,94.1529,91.9676,94.0803,305793500
2011-09-13,94.3867,95.2979,93.7174,94.9431,272514700
2011-09-14,95.4269,97.4106,94.1206,96.2575,319389500
2011-09-15,97.2897,97.9509,96.2817,97.9186,326777200
2011-09-16,98.3088,98.8599,97.5226,98.4952,284528300
2011-09-19,96.8823,98.0170,96.2257,97.5145,241517000
2011-09-20,97.9278,98.8762,97.2713,97.4010,218932200
2011-09-21,97.4496,97.7495,94.3777,94.5317,316251300
2011-09-22,91.7922,92.5703,90.2116,91.4760,513911300
2011-09-23,90.8682,92.5297,90.7952,92.0272,307242500
2011-09-26,92.8945,94.3453,91.5733,94.2156,260673700
2011-09-27,96.0717,96.9066,94.7019,95.2693,311753900
2011-09-28,95.4638,96.0393,93.1863,93.3240,286696800
2011-09-29,94.8722,95.3423,92.3433,94.0616,298108900
2011-09-30,92.7648,93.5753,91.6463,91.7111,288392300
2011-10-03,91.1762,92.3595,89.0039,89.1012,365136800
2011-10-04,87.8206,91.2491,87.0749,91.0546,459177500
2011-10-05,91.2815,92.9836,90.4386,92.7405,284108000
2011-10-06,92.6918,94.5561,92.0029,94.4183,257800800
2011-10-07,94.9694,95.0343,93.2592,93.7860,312657900
2011-10-10,95.3828,96.9633,95.3747,96.9228,230666300
2011-10-11,96.3473,97.2956,96.2501,97.0200,209088000
2011-10-12,97.7495,98.9977,97.5307,97.8711,281544900
2011-10-13,97.2956,97.9684,96.5499,97.6766,212538800
2011-10-14,98.8113,99.3706,98.2602,99.3463,211397600
2011-10-17,98.8762,99.3301,97.2065,97.4496,202311600
2011-10-18,97.3767,100.1001,96.6148,99.3544,318857900
2011-10-19,99.1923,99.7596,97.8387,98.1791,226601300
2011-10-20,98.4223,98.9653,97.1173,98.6087,262075600
2011-10-21,99.7677,100.6026,99.4678,100.4810,278999400
2011-10-24,100.6431,101.9643,100.5539,101.7130,203215600
2011-10-25,101.2267,101.2753,99.5165,99.7353,268596800
2011-10-26,100.7890,101.1294,99.0545,100.7485,289053800
2011-10-27,103.4475,104.8984,102.6208,104.2581,393220200
2011-10-28,103.7474,104.4364,103.5853,104.2337,225906500
2011-10-31,103.0666,104.2499,101.5752,101.7211,228146700
2011-11-01,98.9086,100.1082,98.4952,98.8843,416565800
2011-11-02,100.3675,100.8295,99.5246,100.4972,244717600
2011-11-03,101.5347,102.5316,100.1811,102.3290,291174800
2011-11-04,101.5023,101.8832,100.5134,101.7049,249401600
2011-11-07,101.6319,102.4425,100.6674,102.3371,196617200
2011-11-08,102.8721,103.7636,101.8913,103.6502,224426300
2011-11-09,101.2267,101.9643,99.5813,99.8245,337982000
2011-11-10,101.1456,101.2672,99.7110,100.7647,231866500
2011-11-11,101.9886,102.9288,101.9562,102.6613,189924400
2011-11-14,102.2804,103.3016,101.2510,101.6887,159258300
2011-11-15,101.4536,102.7343,101.0889,102.1912,184709400
2011-11-16,101.1618,102.4019,100.4243,100.5702,235782500
2011-11-17,100.3837,100.6350,98.2602,98.9734,331219600
2011-11-18,99.2895,99.4922,98.4547,98.8681,215580400
2011-11-21,97.4253,97.5469,96.1690,96.9876,229611600
2011-11-22,96.7769,97.3443,96.0636,96.6067,216494900
2011-11-23,95.6989,96.6067,94.4750,94.4750,224329100
2011-11-25,94.3291,95.3990,94.1832,94.2967,99557000
2011-11-28,96.8904,97.4091,96.3068,97.0282,210686000
2011-11-29,97.3037,98.0737,96.9471,97.3037,199241500
2011-11-30,100.0919,101.4942,97.2632,101.3077,324439500
2011-12-01,101.1943,101.8346,100.8538,101.2915,176954800
2011-12-02,102.2236,102.5316,101.1375,101.2024,221109700
2011-12-05,102.8072,103.0828,101.6725,102.3047,225263900
2011-12-06,102.2966,103.0261,101.9318,102.3371,178842100
2011-12-07,101.9967,103.1476,101.2915,102.7181,237802500
2011-12-08,102.0453,102.2723,100.2216,100.4648,240862800
2011-12-09,100.9187,102.4263,100.8295,102.1669,209111400
2011-12-12,101.2753,101.2915,99.8245,100.6755,215826100
2011-12-13,101.2024,101.7778,99.2490,99.7353,245159800
2011-12-14,99.3382,99.7191,98.4547,98.6735,238618800
2011-12-15,99.7191,99.8569,98.8762,99.0302,199109200
2011-12-16,99.6981,100.2853,98.9395,99.1760,220481400
2011-12-19,99.5594,99.7715,97.9036,98.1157,183903000
2011-12-20,99.6573,101.2560,98.1810,101.0847,225418100
2011-12-21,101.0847,101.4354,100.1222,101.2805,194230900
2011-12-22,101.6557,102.2837,101.3294,102.1777,119465400
2011-12-23,102.5039,103.1238,102.2919,103.0912,92187200
2011-12-27,102.9118,103.4420,102.8220,103.1728,86075700
2011-12-28,103.1891,103.2054,101.7372,101.8188,119107100
2011-12-29,102.1532,102.9770,101.8433,102.8710,123507200
2011-12-30,102.7894,103.0423,102.3653,102.3653,95599000
2012-01-03,104.2087,104.7144,103.9395,103.9966,193697900
2012-01-04,103.7519,104.2495,103.3522,104.1597,127186500
2012-01-05,103.5969,104.5920,103.1238,104.4371,173895000
2012-01-06,104.5676,104.5839,103.8253,104.1679,148050000
2012-01-09,104.4044,104.5512,103.9232,104.4207,99530200
2012-01-10,105.5382,105.7503,105.1793,105.3261,115282000
2012-01-11,104.9999,105.5219,104.8286,105.3832,111540700
2012-01-12,105.6850,105.7910,104.8449,105.6361,118983700
2012-01-13,104.9265,105.2609,104.1760,105.0896,179836200
2012-01-17,106.1010,106.2968,105.1385,105.4974,132209200
2012-01-18,105.4729,106.7209,105.2853,106.6638,163395200
2012-01-19,107.0309,107.3163,106.6883,107.2266,126328900
2012-01-20,107.0472,107.6263,106.7862,107.6263,138230200
2012-01-23,107.2674,107.8710,106.8351,107.3490,129295800
2012-01-24,106.6883,107.2592,106.5252,107.2266,103083300
2012-01-25,107.0635,108.3767,106.6475,108.1238,198613200
2012-01-26,108.6051,108.8090,107.1450,107.5692,184880500
2012-01-27,107.0472,107.7079,106.9738,107.5203,135259100
2012-01-30,106.4517,107.2103,106.0847,107.1532,147311800
2012-01-31,107.6834,107.8139,106.5904,107.1124,157212000
2012-02-01,107.9036,108.5969,107.7731,108.0504,166234500
2012-02-02,108.2625,108.4990,107.8384,108.2217,113090400
2012-02-03,109.2984,109.8041,109.1108,109.7388,160598500
2012-02-06,109.2821,109.7144,109.1597,109.6654,107694500
2012-02-07,109.4370,110.1304,109.0047,109.9428,135528100
2012-02-08,109.9999,110.2935,109.5512,110.2690,139361400
2012-02-09,110.4485,110.5953,109.7552,110.4077,148602900
2012-02-10,109.4289,109.6817,109.1679,109.5920,167907500
2012-02-13,110.3751,110.5382,109.9020,110.4077,115841900
2012-02-14,110.1140,110.3343,109.5023,110.2690,165329500
2012-02-15,110.6279,110.7910,109.5349,109.7552,195195100
2012-02-16,109.7633,111.0684,109.5676,110.9705,186567800
2012-02-17,111.3539,111.4436,110.8971,111.2641,129869400
2012-02-21,111.5251,111.7862,110.9705,111.3131,134042300
2012-02-22,111.1418,111.3783,110.7584,110.9542,124455300
2012-02-23,110.8971,111.5251,110.5219,111.4436,137704300
2012-02-24,111.6883,111.9085,111.4436,111.6883,105539100
2012-02-27,110.9460,112.1777,110.7666,111.8759,145728900
